text,disease
"I feel fatigue, blurred vision, weight loss, excessive thirst.",Type 2 Diabetes
"I am experiencing weight loss, frequent urination, excessive thirst, fatigue.",Type 2 Diabetes
"I feel blurred vision, frequent urination.",Type 2 Diabetes
"I feel fatigue, blurred vision.",Type 2 Diabetes
"I am experiencing blurred vision, frequent urination, fatigue.",Type 2 Diabetes
"Symptoms include excessive thirst, blurred vision, weight loss.",Type 2 Diabetes
"Symptoms include excessive thirst, frequent urination, fatigue, weight loss.",Type 2 Diabetes
"I am experiencing blurred vision, fatigue, weight loss.",Type 2 Diabetes
"I am experiencing frequent urination, blurred vision, fatigue, weight loss.",Type 2 Diabetes
"I am experiencing excessive thirst, weight loss.",Type 2 Diabetes
"I have frequent urination, excessive thirst, blurred vision.",Type 2 Diabetes
"Lately I have been having excessive thirst, frequent urination, blurred vision, fatigue.",Type 2 Diabetes
"I have fatigue, excessive thirst, frequent urination.",Type 2 Diabetes
"I feel fatigue, blurred vision.",Type 2 Diabetes
"Symptoms include excessive thirst, blurred vision.",Type 2 Diabetes
"I feel excessive thirst, blurred vision.",Type 2 Diabetes
"I am experiencing weight loss, frequent urination, excessive thirst.",Type 2 Diabetes
"I have frequent urination, blurred vision, excessive thirst, fatigue.",Type 2 Diabetes
"I have weight loss, fatigue, blurred vision, excessive thirst.",Type 2 Diabetes
"I have blurred vision, excessive thirst, frequent urination.",Type 2 Diabetes
"I feel blurred vision, weight loss.",Type 2 Diabetes
"I feel weight loss, fatigue, frequent urination, excessive thirst.",Type 2 Diabetes
"Symptoms include frequent urination, blurred vision, weight loss.",Type 2 Diabetes
"Symptoms include frequent urination, fatigue.",Type 2 Diabetes
"Symptoms include excessive thirst, blurred vision.",Type 2 Diabetes
"I am experiencing fatigue, blurred vision.",Type 2 Diabetes
"I have weight loss, frequent urination, excessive thirst, fatigue.",Type 2 Diabetes
"I feel blurred vision, frequent urination.",Type 2 Diabetes
"Lately I have been having frequent urination, blurred vision, excessive thirst.",Type 2 Diabetes
"I feel blurred vision, fatigue, frequent urination.",Type 2 Diabetes
"I am experiencing weight loss, blurred vision, excessive thirst.",Type 2 Diabetes
"I feel frequent urination, weight loss, blurred vision.",Type 2 Diabetes
"I am experiencing blurred vision, weight loss, fatigue.",Type 2 Diabetes
"I have weight loss, excessive thirst, fatigue, blurred vision.",Type 2 Diabetes
"I have blurred vision, excessive thirst.",Type 2 Diabetes
"I have weight loss, excessive thirst.",Type 2 Diabetes
"Lately I have been having blurred vision, frequent urination, weight loss, excessive thirst.",Type 2 Diabetes
"I have excessive thirst, weight loss, frequent urination.",Type 2 Diabetes
"I am experiencing weight loss, fatigue, blurred vision, frequent urination.",Type 2 Diabetes
"I am experiencing excessive thirst, frequent urination.",Type 2 Diabetes
"I have blurred vision, fatigue.",Type 2 Diabetes
"Symptoms include excessive thirst, frequent urination, fatigue.",Type 2 Diabetes
"I am experiencing frequent urination, fatigue, weight loss, blurred vision.",Type 2 Diabetes
"Symptoms include fatigue, frequent urination, excessive thirst.",Type 2 Diabetes
"Lately I have been having blurred vision, frequent urination, weight loss.",Type 2 Diabetes
"I feel excessive thirst, frequent urination, fatigue, weight loss.",Type 2 Diabetes
"Lately I have been having weight loss, fatigue, excessive thirst, blurred vision.",Type 2 Diabetes
"I have weight loss, fatigue, excessive thirst, frequent urination.",Type 2 Diabetes
"I am experiencing blurred vision, excessive thirst, fatigue.",Type 2 Diabetes
"I feel fatigue, frequent urination, blurred vision, excessive thirst.",Type 2 Diabetes
"I have blurred vision, weight loss.",Type 2 Diabetes
"I am experiencing fatigue, excessive thirst, frequent urination.",Type 2 Diabetes
"Lately I have been having excessive thirst, fatigue, frequent urination, blurred vision.",Type 2 Diabetes
"I feel fatigue, excessive thirst.",Type 2 Diabetes
"I am experiencing blurred vision, excessive thirst, fatigue, weight loss.",Type 2 Diabetes
"Symptoms include blurred vision, excessive thirst.",Type 2 Diabetes
"Symptoms include fatigue, blurred vision, frequent urination.",Type 2 Diabetes
"I am experiencing frequent urination, excessive thirst, fatigue.",Type 2 Diabetes
"Symptoms include blurred vision, fatigue.",Type 2 Diabetes
"Lately I have been having blurred vision, excessive thirst.",Type 2 Diabetes
"I feel weight loss, fatigue, frequent urination.",Type 2 Diabetes
"I feel weight loss, frequent urination, fatigue, excessive thirst.",Type 2 Diabetes
"I feel frequent urination, fatigue, excessive thirst, weight loss.",Type 2 Diabetes
"I am experiencing frequent urination, weight loss, excessive thirst.",Type 2 Diabetes
"I have fatigue, blurred vision, weight loss, frequent urination.",Type 2 Diabetes
"I am experiencing excessive thirst, fatigue, frequent urination, blurred vision.",Type 2 Diabetes
"Lately I have been having blurred vision, excessive thirst, weight loss.",Type 2 Diabetes
"I feel blurred vision, weight loss, frequent urination.",Type 2 Diabetes
"Symptoms include excessive thirst, weight loss, blurred vision, fatigue.",Type 2 Diabetes
"Lately I have been having weight loss, excessive thirst, fatigue.",Type 2 Diabetes
"Symptoms include frequent urination, weight loss, fatigue, blurred vision.",Type 2 Diabetes
"I have weight loss, fatigue, frequent urination.",Type 2 Diabetes
"I am experiencing blurred vision, fatigue, weight loss.",Type 2 Diabetes
"I am experiencing frequent urination, excessive thirst.",Type 2 Diabetes
"I feel excessive thirst, frequent urination, weight loss, blurred vision.",Type 2 Diabetes
"I have weight loss, blurred vision.",Type 2 Diabetes
"Lately I have been having excessive thirst, blurred vision, weight loss, fatigue.",Type 2 Diabetes
"I feel chest tightness, coughing.",Asthma
"I have wheezing, chest tightness, shortness of breath.",Asthma
"I have shortness of breath, coughing, chest tightness, wheezing.",Asthma
"Lately I have been having chest tightness, coughing, wheezing, shortness of breath.",Asthma
"I am experiencing shortness of breath, wheezing, chest tightness.",Asthma
"I am experiencing shortness of breath, chest tightness, coughing.",Asthma
"I am experiencing coughing, shortness of breath, wheezing.",Asthma
"I am experiencing chest tightness, wheezing, shortness of breath.",Asthma
"I feel chest tightness, shortness of breath, wheezing.",Asthma
"I feel coughing, shortness of breath, chest tightness, wheezing.",Asthma
"I have chest tightness, shortness of breath, coughing.",Asthma
"I feel wheezing, coughing.",Asthma
"I feel wheezing, coughing, chest tightness.",Asthma
"Symptoms include wheezing, chest tightness, shortness of breath.",Asthma
"I am experiencing chest tightness, coughing, shortness of breath.",Asthma
"I feel wheezing, chest tightness, coughing, shortness of breath.",Asthma
"I have coughing, chest tightness, shortness of breath.",Asthma
"Symptoms include coughing, shortness of breath.",Asthma
"I feel coughing, chest tightness, wheezing, shortness of breath.",Asthma
"I feel wheezing, chest tightness.",Asthma
"Lately I have been having coughing, chest tightness.",Asthma
"I feel chest tightness, shortness of breath, coughing, wheezing.",Asthma
"Symptoms include shortness of breath, coughing, chest tightness, wheezing.",Asthma
"Symptoms include shortness of breath, coughing, chest tightness.",Asthma
"I have shortness of breath, wheezing.",Asthma
"I have shortness of breath, wheezing, coughing, chest tightness.",Asthma
"Symptoms include chest tightness, coughing, shortness of breath, wheezing.",Asthma
"Lately I have been having wheezing, shortness of breath, chest tightness, coughing.",Asthma
"Lately I have been having coughing, wheezing, shortness of breath.",Asthma
"Lately I have been having chest tightness, shortness of breath.",Asthma
"I feel shortness of breath, chest tightness, wheezing.",Asthma
"Symptoms include chest tightness, coughing, wheezing.",Asthma
"Symptoms include coughing, shortness of breath, chest tightness, wheezing.",Asthma
"I have wheezing, coughing, shortness of breath, chest tightness.",Asthma
"Lately I have been having shortness of breath, coughing, chest tightness.",Asthma
"I feel chest tightness, wheezing.",Asthma
"Lately I have been having wheezing, coughing.",Asthma
"Lately I have been having coughing, wheezing, chest tightness.",Asthma
"I have shortness of breath, chest tightness.",Asthma
"I am experiencing chest tightness, wheezing.",Asthma
"I am experiencing wheezing, coughing.",Asthma
"Symptoms include coughing, shortness of breath, wheezing.",Asthma
"I am experiencing wheezing, chest tightness, shortness of breath.",Asthma
"I have shortness of breath, chest tightness.",Asthma
"Lately I have been having coughing, chest tightness, shortness of breath.",Asthma
"Lately I have been having coughing, wheezing, chest tightness.",Asthma
"I have wheezing, shortness of breath.",Asthma
"Lately I have been having chest tightness, shortness of breath, coughing.",Asthma
"I am experiencing wheezing, chest tightness, shortness of breath, coughing.",Asthma
"Lately I have been having coughing, wheezing.",Asthma
"I have wheezing, coughing.",Asthma
"Lately I have been having shortness of breath, coughing.",Asthma
"I am experiencing chest tightness, coughing, wheezing, shortness of breath.",Asthma
"Symptoms include wheezing, shortness of breath.",Asthma
"Lately I have been having coughing, chest tightness, shortness of breath, wheezing.",Asthma
"Lately I have been having coughing, wheezing.",Asthma
"I am experiencing shortness of breath, chest tightness.",Asthma
"I have wheezing, chest tightness.",Asthma
"Symptoms include chest tightness, shortness of breath, wheezing, coughing.",Asthma
"I feel coughing, shortness of breath, chest tightness, wheezing.",Asthma
"I feel chest tightness, shortness of breath, wheezing.",Asthma
"I have shortness of breath, wheezing.",Asthma
"Symptoms include coughing, chest tightness.",Asthma
"Symptoms include shortness of breath, chest tightness.",Asthma
"I have chest tightness, shortness of breath, wheezing, coughing.",Asthma
"I have chest tightness, coughing, wheezing.",Asthma
"I feel shortness of breath, coughing, wheezing.",Asthma
"Lately I have been having wheezing, coughing, chest tightness, shortness of breath.",Asthma
"Lately I have been having shortness of breath, chest tightness.",Asthma
"I am experiencing shortness of breath, wheezing, coughing, chest tightness.",Asthma
"I feel coughing, shortness of breath, chest tightness, wheezing.",Asthma
"I am experiencing wheezing, chest tightness, coughing, shortness of breath.",Asthma
"Lately I have been having coughing, chest tightness, shortness of breath, wheezing.",Asthma
"Lately I have been having wheezing, coughing.",Asthma
"Lately I have been having wheezing, shortness of breath, chest tightness, coughing.",Asthma
"I feel coughing, wheezing.",Asthma
"Symptoms include coughing, shortness of breath.",Asthma
"Symptoms include shortness of breath, wheezing, coughing, chest tightness.",Asthma
"I feel coughing, wheezing, chest tightness, shortness of breath.",Asthma
"Lately I have been having shortness of breath, chest tightness.",Asthma
"I feel shortness of breath, wheezing, chest tightness.",Asthma
"I have coughing, chest tightness, wheezing.",Asthma
"I am experiencing chest tightness, shortness of breath, coughing, wheezing.",Asthma
"I have shortness of breath, chest tightness, wheezing.",Asthma
"I feel chest tightness, shortness of breath, coughing.",Asthma
"I feel shortness of breath, chest tightness, wheezing, coughing.",Asthma
"I have chest tightness, coughing, shortness of breath, wheezing.",Asthma
"Lately I have been having shortness of breath, coughing, chest tightness.",Asthma
"Lately I have been having coughing, wheezing, chest tightness, shortness of breath.",Asthma
"I am experiencing wheezing, coughing.",Asthma
"I feel shortness of breath, wheezing, chest tightness, coughing.",Asthma
"I feel coughing, chest tightness, shortness of breath, wheezing.",Asthma
"I have coughing, wheezing, chest tightness, shortness of breath.",Asthma
"I have shortness of breath, chest tightness, coughing, wheezing.",Asthma
"Lately I have been having wheezing, coughing, shortness of breath, chest tightness.",Asthma
"Symptoms include shortness of breath, wheezing.",Asthma
"I feel shortness of breath, chest tightness.",Asthma
"Lately I have been having chest tightness, wheezing, coughing.",Asthma
"Symptoms include wheezing, coughing, shortness of breath.",Asthma
"Symptoms include coughing, shortness of breath.",Asthma
"I feel sound sensitivity, light sensitivity, throbbing pain, severe headache.",Migraine
"I have nausea, throbbing pain, severe headache.",Migraine
"I am experiencing nausea, light sensitivity.",Migraine
"I feel sound sensitivity, light sensitivity.",Migraine
"I am experiencing sound sensitivity, severe headache.",Migraine
"I have light sensitivity, throbbing pain, nausea, severe headache.",Migraine
"I have sound sensitivity, nausea.",Migraine
"I feel throbbing pain, sound sensitivity.",Migraine
"Symptoms include nausea, severe headache, throbbing pain.",Migraine
"I have throbbing pain, severe headache, sound sensitivity, nausea.",Migraine
"Lately I have been having throbbing pain, light sensitivity, severe headache, sound sensitivity.",Migraine
"I am experiencing light sensitivity, sound sensitivity, nausea, throbbing pain.",Migraine
"I feel throbbing pain, severe headache, sound sensitivity, light sensitivity.",Migraine
"I am experiencing throbbing pain, light sensitivity, nausea, sound sensitivity.",Migraine
"Lately I have been having nausea, throbbing pain, light sensitivity, sound sensitivity.",Migraine
"I am experiencing severe headache, sound sensitivity, light sensitivity.",Migraine
"I am experiencing throbbing pain, severe headache, light sensitivity.",Migraine
"Symptoms include throbbing pain, sound sensitivity, severe headache, nausea.",Migraine
"I am experiencing severe headache, throbbing pain, sound sensitivity, light sensitivity.",Migraine
"I am experiencing nausea, throbbing pain, light sensitivity.",Migraine
"Symptoms include nausea, throbbing pain, severe headache.",Migraine
"I feel severe headache, light sensitivity, sound sensitivity.",Migraine
"Symptoms include sound sensitivity, severe headache, throbbing pain, nausea.",Migraine
"Symptoms include nausea, light sensitivity, severe headache, throbbing pain.",Migraine
"I feel throbbing pain, severe headache, sound sensitivity, light sensitivity.",Migraine
"Symptoms include severe headache, sound sensitivity, throbbing pain.",Migraine
"I feel nausea, sound sensitivity, light sensitivity.",Migraine
"I have sound sensitivity, nausea.",Migraine
"I am experiencing sound sensitivity, nausea.",Migraine
"Lately I have been having severe headache, light sensitivity, throbbing pain.",Migraine
"Symptoms include throbbing pain, light sensitivity, sound sensitivity.",Migraine
"I am experiencing severe headache, light sensitivity, nausea.",Migraine
"I feel nausea, severe headache.",Migraine
"I feel sound sensitivity, throbbing pain, nausea, light sensitivity.",Migraine
"Lately I have been having severe headache, light sensitivity, throbbing pain, nausea.",Migraine
"I have throbbing pain, nausea, light sensitivity.",Migraine
"I have throbbing pain, severe headache, nausea, light sensitivity.",Migraine
"Lately I have been having light sensitivity, severe headache, nausea, throbbing pain.",Migraine
"I am experiencing light sensitivity, severe headache.",Migraine
"Symptoms include sound sensitivity, nausea.",Migraine
"I am experiencing severe headache, sound sensitivity.",Migraine
"Symptoms include throbbing pain, nausea.",Migraine
"Symptoms include light sensitivity, nausea.",Migraine
"Symptoms include sound sensitivity, throbbing pain, nausea, severe headache.",Migraine
"I have sound sensitivity, light sensitivity, nausea, throbbing pain.",Migraine
"I have throbbing pain, light sensitivity, nausea.",Migraine
"I feel severe headache, throbbing pain, nausea, light sensitivity.",Migraine
"I am experiencing severe headache, throbbing pain.",Migraine
"I have throbbing pain, nausea, sound sensitivity.",Migraine
"Symptoms include severe headache, nausea, throbbing pain.",Migraine
"Symptoms include throbbing pain, sound sensitivity.",Migraine
"Symptoms include throbbing pain, light sensitivity, nausea.",Migraine
"Lately I have been having nausea, throbbing pain, light sensitivity, severe headache.",Migraine
"I am experiencing sound sensitivity, throbbing pain, nausea, severe headache.",Migraine
"Symptoms include sound sensitivity, severe headache, light sensitivity.",Migraine
"Lately I have been having sound sensitivity, light sensitivity, throbbing pain, severe headache.",Migraine
"I feel severe headache, sound sensitivity.",Migraine
"Lately I have been having nausea, sound sensitivity, light sensitivity, severe headache.",Migraine
"I am experiencing severe headache, throbbing pain, sound sensitivity, nausea.",Migraine
"I feel throbbing pain, light sensitivity, sound sensitivity.",Migraine
"I am experiencing nausea, severe headache, throbbing pain, sound sensitivity.",Migraine
"Lately I have been having throbbing pain, severe headache, light sensitivity, sound sensitivity.",Migraine
"Lately I have been having light sensitivity, throbbing pain, severe headache, sound sensitivity.",Migraine
"Lately I have been having severe headache, throbbing pain.",Migraine
"I am experiencing sound sensitivity, light sensitivity, severe headache, nausea.",Migraine
"I have nausea, sound sensitivity, light sensitivity, throbbing pain.",Migraine
"Lately I have been having throbbing pain, light sensitivity.",Migraine
"I have light sensitivity, throbbing pain, severe headache.",Migraine
"I have throbbing pain, sound sensitivity, severe headache, light sensitivity.",Migraine
"Lately I have been having nausea, throbbing pain, sound sensitivity, light sensitivity.",Migraine
"I am experiencing light sensitivity, severe headache.",Migraine
"I have light sensitivity, nausea, throbbing pain.",Migraine
"Symptoms include nausea, sound sensitivity, severe headache.",Migraine
"Symptoms include nausea, throbbing pain, severe headache, sound sensitivity.",Migraine
"I feel light sensitivity, sound sensitivity, nausea, severe headache.",Migraine
"I am experiencing nausea, sound sensitivity.",Migraine
"I feel light sensitivity, throbbing pain.",Migraine
"Lately I have been having throbbing pain, sound sensitivity, nausea.",Migraine
"Symptoms include light sensitivity, throbbing pain, nausea, sound sensitivity.",Migraine
"I feel light sensitivity, sound sensitivity, nausea, severe headache.",Migraine
"Lately I have been having light sensitivity, nausea, severe headache.",Migraine
"I have nausea, throbbing pain.",Migraine
"I am experiencing throbbing pain, light sensitivity, nausea.",Migraine
"I feel throbbing pain, sound sensitivity, light sensitivity, nausea.",Migraine
"I feel sound sensitivity, severe headache, light sensitivity.",Migraine
"I have nausea, severe headache, light sensitivity.",Migraine
"Lately I have been having severe headache, light sensitivity.",Migraine
"I have severe headache, nausea, throbbing pain.",Migraine
"I have sound sensitivity, severe headache, throbbing pain.",Migraine
"I feel severe headache, throbbing pain, sound sensitivity, light sensitivity.",Migraine
"Symptoms include nausea, throbbing pain, sound sensitivity.",Migraine
"Symptoms include sound sensitivity, throbbing pain.",Migraine
"Symptoms include sound sensitivity, throbbing pain.",Migraine
"Lately I have been having severe headache, nausea, throbbing pain, sound sensitivity.",Migraine
"I have sound sensitivity, severe headache, light sensitivity.",Migraine
"I feel nausea, light sensitivity, severe headache.",Migraine
"Lately I have been having light sensitivity, severe headache, nausea.",Migraine
"I am experiencing throbbing pain, nausea.",Migraine
"Symptoms include light sensitivity, severe headache.",Migraine
"I feel severe headache, throbbing pain, sound sensitivity.",Migraine
"I am experiencing frequent urination, lower abdominal pain, burning urination.",UTI
"Lately I have been having cloudy urine, burning urination.",UTI
"I feel cloudy urine, lower abdominal pain.",UTI
"I feel burning urination, cloudy urine, frequent urination.",UTI
"I am experiencing burning urination, cloudy urine.",UTI
"I have burning urination, frequent urination, lower abdominal pain.",UTI
"I feel cloudy urine, lower abdominal pain, frequent urination, burning urination.",UTI
"I feel lower abdominal pain, burning urination, cloudy urine, frequent urination.",UTI
"Lately I have been having frequent urination, lower abdominal pain, cloudy urine.",UTI
"I have burning urination, frequent urination.",UTI
"Symptoms include frequent urination, lower abdominal pain, burning urination, cloudy urine.",UTI
"Symptoms include frequent urination, cloudy urine, lower abdominal pain.",UTI
"I am experiencing burning urination, cloudy urine, lower abdominal pain, frequent urination.",UTI
"I have burning urination, frequent urination, lower abdominal pain.",UTI
"I am experiencing burning urination, frequent urination, cloudy urine.",UTI
"I am experiencing cloudy urine, burning urination.",UTI
"I feel cloudy urine, burning urination.",UTI
"I feel burning urination, lower abdominal pain, frequent urination.",UTI
"I have cloudy urine, lower abdominal pain, frequent urination, burning urination.",UTI
"Symptoms include lower abdominal pain, frequent urination, cloudy urine.",UTI
"I have cloudy urine, lower abdominal pain, frequent urination.",UTI
"I feel cloudy urine, burning urination.",UTI
"I feel lower abdominal pain, frequent urination, burning urination.",UTI
"I have frequent urination, burning urination.",UTI
"Symptoms include frequent urination, cloudy urine, lower abdominal pain.",UTI
"I am experiencing cloudy urine, lower abdominal pain, burning urination, frequent urination.",UTI
"I have frequent urination, burning urination, cloudy urine, lower abdominal pain.",UTI
"Lately I have been having frequent urination, lower abdominal pain, burning urination.",UTI
"I feel lower abdominal pain, frequent urination, cloudy urine, burning urination.",UTI
"Symptoms include frequent urination, burning urination.",UTI
"Lately I have been having lower abdominal pain, cloudy urine, frequent urination.",UTI
"Lately I have been having lower abdominal pain, burning urination, frequent urination, cloudy urine.",UTI
"I feel burning urination, frequent urination, cloudy urine.",UTI
"I am experiencing burning urination, lower abdominal pain.",UTI
"I feel lower abdominal pain, burning urination, frequent urination, cloudy urine.",UTI
"Symptoms include cloudy urine, frequent urination.",UTI
"Lately I have been having cloudy urine, burning urination, frequent urination, lower abdominal pain.",UTI
"I am experiencing lower abdominal pain, cloudy urine, burning urination, frequent urination.",UTI
"Symptoms include burning urination, lower abdominal pain, frequent urination.",UTI
"Lately I have been having lower abdominal pain, frequent urination, cloudy urine.",UTI
"I have burning urination, cloudy urine, lower abdominal pain.",UTI
"I have lower abdominal pain, burning urination, cloudy urine.",UTI
"Symptoms include frequent urination, cloudy urine, lower abdominal pain.",UTI
"I am experiencing frequent urination, burning urination.",UTI
"I feel burning urination, cloudy urine.",UTI
"I am experiencing cloudy urine, frequent urination, lower abdominal pain.",UTI
"Symptoms include burning urination, cloudy urine.",UTI
"I have lower abdominal pain, cloudy urine, frequent urination.",UTI
"Symptoms include cloudy urine, burning urination, frequent urination, lower abdominal pain.",UTI
"I have lower abdominal pain, frequent urination.",UTI
"I have cloudy urine, frequent urination, lower abdominal pain, burning urination.",UTI
"Symptoms include frequent urination, lower abdominal pain, burning urination, cloudy urine.",UTI
"I have lower abdominal pain, frequent urination, cloudy urine.",UTI
"Symptoms include frequent urination, cloudy urine.",UTI
"Symptoms include frequent urination, lower abdominal pain.",UTI
"I am experiencing frequent urination, cloudy urine, burning urination, lower abdominal pain.",UTI
"Lately I have been having cloudy urine, burning urination, frequent urination.",UTI
"Lately I have been having burning urination, lower abdominal pain, cloudy urine, frequent urination.",UTI
"I feel cloudy urine, burning urination, lower abdominal pain, frequent urination.",UTI
"Lately I have been having lower abdominal pain, burning urination.",UTI
"I feel lower abdominal pain, burning urination.",UTI
"I feel burning urination, lower abdominal pain, cloudy urine, frequent urination.",UTI
"I am experiencing burning urination, lower abdominal pain, cloudy urine, frequent urination.",UTI
"I have frequent urination, lower abdominal pain.",UTI
"I feel burning urination, frequent urination, lower abdominal pain, cloudy urine.",UTI
"I am experiencing lower abdominal pain, frequent urination, cloudy urine.",UTI
"I have cloudy urine, burning urination, lower abdominal pain, frequent urination.",UTI
"I am experiencing cloudy urine, frequent urination, burning urination, lower abdominal pain.",UTI
"Symptoms include frequent urination, burning urination.",UTI
"I am experiencing burning urination, lower abdominal pain, cloudy urine, frequent urination.",UTI
"I have lower abdominal pain, burning urination, frequent urination, cloudy urine.",UTI
"I have burning urination, lower abdominal pain, frequent urination.",UTI
"I feel frequent urination, cloudy urine, burning urination.",UTI
"I am experiencing cloudy urine, lower abdominal pain, burning urination.",UTI
"Symptoms include burning urination, lower abdominal pain.",UTI
"I am experiencing burning urination, cloudy urine.",UTI
"I feel frequent urination, burning urination.",UTI
"I feel lower abdominal pain, burning urination, cloudy urine, frequent urination.",UTI
"I have burning urination, frequent urination.",UTI
"I am experiencing cloudy urine, frequent urination, lower abdominal pain.",UTI
"Lately I have been having burning urination, frequent urination.",UTI
"I am experiencing frequent urination, cloudy urine, lower abdominal pain, burning urination.",UTI
"I have burning urination, frequent urination.",UTI
"I am experiencing burning urination, lower abdominal pain, frequent urination.",UTI
"I feel lower abdominal pain, cloudy urine, frequent urination.",UTI
"I am experiencing burning urination, lower abdominal pain, frequent urination.",UTI
"I am experiencing cloudy urine, frequent urination, lower abdominal pain.",UTI
"Symptoms include frequent urination, lower abdominal pain, cloudy urine.",UTI
"I have frequent urination, cloudy urine.",UTI
"I have frequent urination, lower abdominal pain.",UTI
"I feel burning urination, frequent urination, cloudy urine, lower abdominal pain.",UTI
"Symptoms include frequent urination, cloudy urine.",UTI
"I have frequent urination, burning urination, cloudy urine.",UTI
"I am experiencing cloudy urine, burning urination.",UTI
"Symptoms include frequent urination, cloudy urine.",UTI
"Lately I have been having frequent urination, lower abdominal pain, cloudy urine, burning urination.",UTI
"Symptoms include lower abdominal pain, frequent urination.",UTI
"I am experiencing frequent urination, cloudy urine.",UTI
"I have frequent urination, burning urination, lower abdominal pain, cloudy urine.",UTI
"I feel frequent urination, burning urination, lower abdominal pain.",UTI
